
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      62 |        1110 |       00:17:57 |      100.00% |       88.24% |   2.3735e-05 |       0.3714 |      1.0000e-04 |
|      64 |        1140 |       00:18:27 |      100.00% |       88.24% |   1.4739e-05 |       0.3730 |      1.0000e-04 |
|      64 |        1150 |       00:18:36 |      100.00% |              |   7.1049e-06 |              |      1.0000e-04 |
|      65 |        1170 |       00:18:56 |      100.00% |       88.24% |   1.5569e-05 |       0.3747 |      1.0000e-04 |
|      67 |        1200 |       00:19:25 |      100.00% |       88.24% |   2.1458e-05 |       0.3763 |      1.0000e-04 |
|      69 |        1230 |       00:19:55 |      100.00% |       88.24% |   1.3296e-05 |       0.3779 |      1.0000e-04 |
|      70 |        1250 |       00:20:14 |      100.00% |              |   3.1667e-05 |              |      1.0000e-04 |
|      70 |        1260 |       00:20:24 |      100.00% |       88.24% |   1.4087e-05 |       0.3796 |      1.0000e-04 |
|      72 |        1290 |       00:20:53 |      100.00% |       88.24% |   1.9531e-05 |       0.3812 |      1.0000e-04 |
|      73 |        1300 |       00:21:03 |      100.00% |              |   1.8084e-05 |              |      1.0000e-04 |
|      74 |        1320 |       00:21:22 |      100.00% |       88.24% |   1.2084e-05 |       0.3828 |      1.0000e-04 |
|      75 |        1350 |       00:21:52 |      100.00% |       88.24% |   1.2843e-05 |       0.3845 |      1.0000e-04 |
|      77 |        1380 |       00:22:21 |      100.00% |       88.24% |   1.7917e-05 |       0.3861 |      1.0000e-04 |
|      78 |        1400 |       00:22:40 |      100.00% |              |   8.2811e-06 |              |      1.0000e-04 |
|      79 |        1410 |       00:22:50 |      100.00% |       88.24% |   1.1083e-05 |       0.3878 |      1.0000e-04 |
|      80 |        1440 |       00:23:20 |      100.00% |       88.24% |   1.1818e-05 |       0.3896 |      1.0000e-04 |
|      81 |        1450 |       00:23:30 |      100.00% |              |   1.3228e-05 |              |      1.0000e-04 |
|      82 |        1470 |       00:23:50 |      100.00% |       88.24% |   1.6538e-05 |       0.3913 |      1.0000e-04 |
|      84 |        1500 |       00:24:19 |      100.00% |       88.24% |   1.0200e-05 |       0.3930 |      1.0000e-04 |
|      85 |        1530 |       00:24:48 |      100.00% |       88.24% |   1.0947e-05 |       0.3949 |      1.0000e-04 |
