
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       75.00% |       50.00% |       0.6423 |       0.7113 |      1.0000e-04 |
|       1 |          30 |       00:00:32 |       75.00% |       55.88% |       0.5894 |       0.7100 |      1.0000e-04 |
|       1 |          50 |       00:00:49 |       50.00% |              |       0.5915 |              |      1.0000e-04 |
|       1 |          60 |       00:00:59 |      100.00% |       60.29% |       0.4099 |       0.6551 |      1.0000e-04 |
|       2 |          90 |       00:01:28 |      100.00% |       61.76% |       0.2619 |       0.6120 |      1.0000e-04 |
|       2 |         100 |       00:01:38 |      100.00% |              |       0.2476 |              |      1.0000e-04 |
|       2 |         120 |       00:01:58 |      100.00% |       70.59% |       0.2376 |       0.5752 |      1.0000e-04 |
|       3 |         150 |       00:02:28 |      100.00% |       67.65% |       0.1268 |       0.5686 |      1.0000e-04 |
|       3 |         180 |       00:02:58 |      100.00% |       67.65% |       0.1494 |       0.5547 |      1.0000e-04 |
|       3 |         200 |       00:03:17 |      100.00% |              |       0.1146 |              |      1.0000e-04 |
|       3 |         210 |       00:03:29 |      100.00% |       69.12% |       0.1618 |       0.5243 |      1.0000e-04 |
|       4 |         240 |       00:03:59 |      100.00% |       70.59% |       0.0704 |       0.5251 |      1.0000e-04 |
|       4 |         250 |       00:04:08 |      100.00% |              |       0.1014 |              |      1.0000e-04 |
|       4 |         270 |       00:04:29 |      100.00% |       75.00% |       0.0761 |       0.5003 |      1.0000e-04 |
|       5 |         300 |       00:04:59 |      100.00% |       70.59% |       0.0621 |       0.5206 |      1.0000e-04 |
|       5 |         330 |       00:05:29 |      100.00% |       70.59% |       0.0649 |       0.5057 |      1.0000e-04 |
