
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      21 |        1140 |       01:08:22 |      100.00% |       92.65% |   2.4200e-06 |       0.1672 |      1.0000e-04 |
|      21 |        1150 |       01:08:56 |      100.00% |              |   1.3399e-05 |              |      1.0000e-04 |
|      21 |        1170 |       01:10:08 |      100.00% |       94.12% |   9.6203e-06 |       0.1633 |      1.0000e-04 |
|      22 |        1200 |       01:11:55 |      100.00% |       94.12% |   3.3411e-05 |       0.1691 |      1.0000e-04 |
|      22 |        1230 |       01:13:42 |      100.00% |       94.12% |   8.0932e-05 |       0.1638 |      1.0000e-04 |
|      23 |        1250 |       01:14:53 |      100.00% |              |   4.3631e-06 |              |      1.0000e-04 |
|      23 |        1260 |       01:15:33 |      100.00% |       92.65% |   2.0016e-05 |       0.1650 |      1.0000e-04 |
|      24 |        1290 |       01:17:28 |      100.00% |       92.65% |   7.8799e-06 |       0.1634 |      1.0000e-04 |
|      24 |        1300 |       01:18:05 |      100.00% |              |   1.3483e-05 |              |      1.0000e-04 |
|      24 |        1320 |       01:19:21 |      100.00% |       92.65% |   1.4806e-05 |       0.1710 |      1.0000e-04 |
|      25 |        1350 |       01:21:08 |      100.00% |       92.65% |       0.0001 |       0.1665 |      1.0000e-04 |
|      25 |        1380 |       01:22:57 |      100.00% |       92.65% |   7.2719e-06 |       0.1691 |      1.0000e-04 |
|      25 |        1400 |       01:24:08 |      100.00% |              |       0.0001 |              |      1.0000e-04 |
|      26 |        1410 |       01:24:46 |      100.00% |       92.65% |   1.3471e-05 |       0.1684 |      1.0000e-04 |
|      26 |        1440 |       01:26:32 |      100.00% |       92.65% |   3.0542e-05 |       0.1791 |      1.0000e-04 |
|      26 |        1450 |       01:27:07 |      100.00% |              |   8.2971e-06 |              |      1.0000e-04 |
|      27 |        1470 |       01:28:19 |      100.00% |       94.12% |   3.8386e-06 |       0.1707 |      1.0000e-04 |
|      27 |        1500 |       01:30:07 |      100.00% |       94.12% |   1.7047e-06 |       0.1735 |      1.0000e-04 |
|      28 |        1530 |       01:31:57 |      100.00% |       92.65% |   3.2306e-06 |       0.1734 |      1.0000e-04 |
|      28 |        1550 |       01:33:07 |      100.00% |              |   4.0174e-06 |              |      1.0000e-04 |
|      28 |        1560 |       01:33:45 |      100.00% |       92.65% |   2.3974e-05 |       0.1781 |      1.0000e-04 |
|      29 |        1590 |       01:35:33 |      100.00% |       94.12% |   7.8441e-06 |       0.1728 |      1.0000e-04 |
|      29 |        1600 |       01:36:08 |      100.00% |              |   1.2481e-05 |              |      1.0000e-04 |
|      29 |        1620 |       01:37:22 |      100.00% |       92.65% |   4.1366e-06 |       0.1782 |      1.0000e-04 |
|      30 |        1650 |       01:39:09 |      100.00% |       94.12% |   8.9885e-06 |       0.1809 |      1.0000e-04 |
|      30 |        1680 |       01:40:59 |      100.00% |       92.65% |       0.0001 |       0.1776 |      1.0000e-04 |
|      31 |        1700 |       01:42:10 |      100.00% |              |   1.5259e-06 |              |      1.0000e-04 |
|      31 |        1710 |       01:42:48 |      100.00% |       92.65% |   6.6877e-06 |       0.1922 |      1.0000e-04 |
|      32 |        1740 |       01:44:35 |      100.00% |       94.12% |   2.9326e-06 |       0.1700 |      1.0000e-04 |
|      32 |        1750 |       01:45:10 |      100.00% |              |   3.1114e-06 |              |      1.0000e-04 |
|      32 |        1770 |       01:46:23 |      100.00% |       92.65% |   2.1506e-05 |       0.1762 |      1.0000e-04 |
|      33 |        1800 |       01:48:11 |      100.00% |       94.12% |   2.1017e-05 |       0.1665 |      1.0000e-04 |
|      33 |        1830 |       01:49:59 |      100.00% |       92.65% |   2.0862e-06 |       0.1807 |      1.0000e-04 |
|      34 |        1850 |       01:51:09 |      100.00% |              |   3.5644e-06 |              |      1.0000e-04 |
|      34 |        1860 |       01:51:46 |      100.00% |       94.12% |   6.1870e-06 |       0.1707 |      1.0000e-04 |
|      34 |        1890 |       01:53:33 |      100.00% |       92.65% |   2.8491e-06 |       0.1842 |      1.0000e-04 |
|      34 |        1900 |       01:54:07 |      100.00% |              |   2.8730e-06 |              |      1.0000e-04 |
|      35 |        1920 |       01:55:20 |      100.00% |       94.12% |   1.6666e-05 |       0.1693 |      1.0000e-04 |
|      35 |        1950 |       01:57:06 |      100.00% |       92.65% |   1.6511e-05 |       0.1790 |      1.0000e-04 |
|      36 |        1980 |       01:58:53 |      100.00% |       94.12% |   1.2517e-06 |       0.1648 |      1.0000e-04 |
|      36 |        2000 |       02:00:02 |      100.00% |              |   1.2446e-05 |              |      1.0000e-04 |
|      36 |        2010 |       02:00:39 |      100.00% |       92.65% |   4.3035e-06 |       0.1730 |      1.0000e-04 |
|      37 |        2040 |       02:02:27 |      100.00% |       94.12% |   1.1957e-05 |       0.1761 |      1.0000e-04 |
|      37 |        2050 |       02:03:02 |      100.00% |              |   2.0480e-05 |              |      1.0000e-04 |
|      37 |        2070 |       02:04:14 |      100.00% |       92.65% |   4.9736e-05 |       0.1679 |      1.0000e-04 |
|      38 |        2100 |       02:06:02 |      100.00% |       94.12% |   7.8202e-06 |       0.1603 |      1.0000e-04 |
|      39 |        2130 |       02:07:50 |      100.00% |       92.65% |   2.8014e-06 |       0.1676 |      1.0000e-04 |
|      39 |        2150 |       02:09:01 |      100.00% |              |   5.0426e-06 |              |      1.0000e-04 |
|      39 |        2160 |       02:09:39 |      100.00% |       94.12% |   9.7037e-06 |       0.1693 |      1.0000e-04 |
|      40 |        2190 |       02:11:27 |      100.00% |       94.12% |   5.3671e-05 |       0.1600 |      1.0000e-04 |
|      40 |        2200 |       02:12:03 |      100.00% |              |   1.7774e-05 |              |      1.0000e-04 |
|      40 |        2220 |       02:13:16 |      100.00% |       94.12% |   4.3989e-06 |       0.1665 |      1.0000e-04 |
|      41 |        2250 |       02:15:04 |      100.00% |       94.12% |   4.3035e-06 |       0.1574 |      1.0000e-04 |
|      41 |        2280 |       02:16:52 |      100.00% |       94.12% |   1.0347e-05 |       0.1737 |      1.0000e-04 |
|      42 |        2300 |       02:18:02 |      100.00% |              |   2.6703e-06 |              |      1.0000e-04 |
|      42 |        2310 |       02:18:40 |      100.00% |       94.12% |   2.6822e-06 |       0.1645 |      1.0000e-04 |
|      42 |        2340 |       02:20:30 |      100.00% |       94.12% |   1.0133e-06 |       0.1687 |      1.0000e-04 |
|      42 |        2350 |       02:21:04 |      100.00% |              |   4.4192e-05 |              |      1.0000e-04 |
|      43 |        2370 |       02:22:16 |      100.00% |       94.12% |   1.5378e-06 |       0.1617 |      1.0000e-04 |
